,Date,Number of Cases
1043,2022-11-30,4186.0
1044,2022-12-01,0.0
1045,2022-12-02,0.0
1046,2022-12-03,0.0
1047,2022-12-04,0.0
1048,2022-12-05,0.0
1049,2022-12-06,0.0
1050,2022-12-07,0.0
1051,2022-12-08,0.0
1052,2022-12-09,5807.0
1053,2022-12-10,0.0
1054,2022-12-11,0.0
1055,2022-12-12,0.0
1056,2022-12-13,0.0
1057,2022-12-14,0.0
1058,2022-12-15,0.0
1059,2022-12-16,6465.0
1060,2022-12-17,0.0
1061,2022-12-18,0.0
1062,2022-12-19,0.0
1063,2022-12-20,0.0
1064,2022-12-21,7377.0
1065,2022-12-22,0.0
1066,2022-12-23,0.0
1067,2022-12-24,0.0
1068,2022-12-25,0.0
1069,2022-12-26,0.0
1070,2022-12-27,0.0
1071,2022-12-28,0.0
1072,2022-12-29,0.0
1073,2022-12-30,0.0
1074,2022-12-31,0.0
1075,2023-01-01,0.0
1076,2023-01-02,0.0
1077,2023-01-03,0.0
1078,2023-01-04,0.0
1079,2023-01-05,0.0
1080,2023-01-06,18290.0
1081,2023-01-07,0.0
1082,2023-01-08,0.0
1083,2023-01-09,0.0
1084,2023-01-10,0.0
1085,2023-01-11,0.0
1086,2023-01-12,8925.0
1087,2023-01-13,0.0
1088,2023-01-14,0.0
1089,2023-01-15,0.0
1090,2023-01-16,0.0
